"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능
"전기·가스·증기 및 수도사업",전기·가스·증기 및 수도사업,87,18,6,19,2,4,5,9,24,0,108,16,8,19,15,10,3,14,23,0,111,21,15,13,12,10,6,17,17,0,105,18,12,12,6,3,4,19,31,0,130,17,5,17,12,10,7,15,47,0
"건설업",소계,25649,23510,881,537,211,101,79,194,128,8,27686,24983,1144,703,250,138,96,237,132,3,27211,24244,1224,731,318,180,107,253,151,3,26799,23669,1189,810,334,165,115,315,201,1,29943,26467,1338,861,362,219,147,325,224,0
"건설업",건설업,25649,23510,881,537,211,101,79,194,128,8,27686,24983,1144,703,250,138,96,237,132,3,27211,24244,1224,731,318,180,107,253,151,3,26799,23669,1189,810,334,165,115,315,201,1,29943,26467,1338,861,362,219,147,325,224,0
"운수·창고 및 통신업",소계,4237,1863,502,559,287,180,134,323,389,0,5291,2287,599,617,310,236,165,485,589,3,6173,2683,786,698,404,265,213,541,581,2,7251,3523,977,845,468,247,178,457,556,0,10091,5372,1206,1154,590,358,242,545,624,0
"운수·창고 및 통신업",철도·궤도 및 삭도운수업,114,5,9,5,6,9,1,8,71,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·궤도·삭도·항공운수업,-,-,-,-,-,-,-,-,-,-,341,22,22,32,19,17,16,52,158,3,466,36,31,42,34,47,38,77,161,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·항공·창고·운수관련서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2402,989,271,297,169,97,77,211,291,0,2854,1156,317,363,208,143,104,224,339,0
"운수·창고 및 통신업",자동차운수업 및 택배업 퀵서비스업,2213,951,308,349,149,97,67,158,134,0,2679,1220,343,356,164,129,83,201,183,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",육상 및 수상운수업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3528,1744,475,412,205,119,108,245,218,2,4607,2492,677,525,268,128,96,220,201,0,6942,4191,848,758,359,170,113,281,222,0
"운수·창고 및 통신업",수상운수업 항만하역 및 화물취급사업,1206,658,118,120,73,34,36,79,88,0,1377,746,130,99,73,49,36,123,121,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",항공운수업,81,13,6,11,6,6,6,12,21,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",운수관련서비스업,305,132,39,46,25,11,8,30,14,0,430,159,53,72,26,23,13,44,40,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고 및 운수관련 서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1956,874,258,212,132,89,53,189,149,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고업,176,85,13,15,10,12,10,13,18,0,228,104,24,23,13,10,6,31,17,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",통신업,142,19,9,13,18,11,6,23,43,0,236,36,27,35,15,8,11,34,70,0,223,29,22,32,33,10,14,30,53,0,242,42,29,23,31,22,5,26,64,0,295,25,41,33,23,45,25,40,63,0
"임업",소계,1124,1094,13,7,2,3,0,4,1,0,1041,994,18,13,5,4,0,5,2,0,1017,974,13,10,5,5,1,4,4,1,1030,978,22,8,3,4,3,4,8,0,946,910,8,5,8,4,0,9,2,0
"임업",임업,1124,1094,13,7,2,3,0,4,1,0,1041,994,18,13,5,4,0,5,2,0,1017,974,13,10,5,5,1,4,4,1,1030,978,22,8,3,4,3,4,8,0,946,910,8,5,8,4,0,9,2,0
"어업",소계,59,28,3,12,4,4,2,5,1,0,66,30,8,9,3,3,1,6,6,0,60,35,11,7,3,2,1,1,0,0,48,26,2,10,2,5,0,2,1,0,74,35,7,10,11,2,2,5,2,0
